Título,Comentario,Puntaje,processed_text,lemmatized_text,topic
"Punished for being honest, guest rewarded for lying","I feel completely let down by Airbnb.A guest booked for one person, but two showed up at check in. Days later we discovered three were actually staying, and the first to arrive was not even the booker but his father and wife. Despite having proof, Airbnb took no action.The same guest reported a shower issue six days into the stay. We immediately replaced the boiler at our own expense. My father worked six hours to install it. The problem was resolved within days, yet Airbnb still issued a refund as if there had been no hot water for many nights, which simply is not true.Airbnb lastly blamed us for not reporting the breach of number and identity of guests, but we only found out a week into the booking.We acted quickly, spent money, and tried to do everything right, but Airbnb rewarded dishonesty and left us feeling powerless and disrespected.",1,"['feel', 'completely', 'let', 'airbnba', 'guest', 'booked', 'one', 'person', 'two', 'showed', 'check', 'day', 'later', 'discovered', 'three', 'actually', 'staying', 'first', 'arrive', 'even', 'booker', 'father', 'wife', 'despite', 'proof', 'airbnb', 'took', 'actionthe', 'guest', 'reported', 'shower', 'issue', 'six', 'day', 'stay', 'immediately', 'replaced', 'boiler', 'expense', 'father', 'worked', 'six', 'hour', 'install', 'problem', 'resolved', 'within', 'day', 'yet', 'airbnb', 'still', 'issued', 'refund', 'hot', 'water', 'many', 'night', 'simply', 'trueairbnb', 'lastly', 'blamed', 'u', 'reporting', 'breach', 'number', 'identity', 'guest', 'found', 'week', 'bookingwe', 'acted', 'quickly', 'spent', 'money', 'tried', 'everything', 'right', 'airbnb', 'rewarded', 'dishonesty', 'left', 'u', 'feeling', 'powerless', 'disrespected']","['I', 'feel', 'completely', 'let', 'down', 'by', 'Airbnb.A', 'guest', 'booked', 'for', 'one', 'person', ',', 'but', 'two', 'showed', 'up', 'at', 'check', 'in', '.', 'Days', 'later', 'we', 'discovered', 'three', 'were', 'actually', 'staying', ',', 'and', 'the', 'first', 'to', 'arrive', 'wa', 'not', 'even', 'the', 'booker', 'but', 'his', 'father', 'and', 'wife', '.', 'Despite', 'having', 'proof', ',', 'Airbnb', 'took', 'no', 'action.The', 'same', 'guest', 'reported', 'a', 'shower', 'issue', 'six', 'day', 'into', 'the', 'stay', '.', 'We', 'immediately', 'replaced', 'the', 'boiler', 'at', 'our', 'own', 'expense', '.', 'My', 'father', 'worked', 'six', 'hour', 'to', 'install', 'it', '.', 'The', 'problem', 'wa', 'resolved', 'within', 'day', ',', 'yet', 'Airbnb', 'still', 'issued', 'a', 'refund', 'a', 'if', 'there', 'had', 'been', 'no', 'hot', 'water', 'for', 'many', 'night', ',', 'which', 'simply', 'is', 'not', 'true.Airbnb', 'lastly', 'blamed', 'u', 'for', 'not', 'reporting', 'the', 'breach', 'of', 'number', 'and', 'identity', 'of', 'guest', ',', 'but', 'we', 'only', 'found', 'out', 'a', 'week', 'into', 'the', 'booking.We', 'acted', 'quickly', ',', 'spent', 'money', ',', 'and', 'tried', 'to', 'do', 'everything', 'right', ',', 'but', 'Airbnb', 'rewarded', 'dishonesty', 'and', 'left', 'u', 'feeling', 'powerless', 'and', 'disrespected', '.']",other
They don't even have a proper system in place for refunding specific receipts,"If only I'd seen the trustpilot score before booking!Avoid Airbnb at all costs - especially if travelling on business.My case was a simple one, yet Airbnb were completely unable to provide a solution, despite days of correspondence with them, a phone call, and an understanding host who had already agreed to the refund.A complete waste of my time, and loss of my money.I was travelling on business, therefore my employer paid for 5 nights accommodating using one of the business credit cards (transaction 1).I was travelling with my baby and wife, so I personally sent an additional payment to the host for a cot and high chair using my own credit card (transaction 2).There were problems with the accommodation when we arrived (which the host acknowledged and agreed to provide us a refund for).Therefore, I needed two separate refunds, made to the two separate cards and bank accounts that had been used.1. Refund to my employer for the accommodation (transaction 1)2. Refund to myself for the extras (transaction 2)This shouldn't be difficult, because Airbnb had provided separate receipts, each with their own receipt ID.I needed a partial refund for receipt ID 1 (to my employer) and a full refund for receipt ID 2 (to myself).They couldn't manage this simple task!The first person I spoke with on the chat couldn't understand how I had made two payments, especially that one of which was not my bank account. Surely traveling on business isn't this alien to Airbnb!?No matter who I spoke to, they sent the refund to the employer, citing that it had to be sent to the original payment, and completely neglecting the fact there were 2 payment methods.Even when I provided the receipt ID RCT9RMWEPW, they were unable to send me a refund for this.Airbnb even further explained that there would be no option for the host to select how to refund me through their platform (i.e. The host is unable to send the correct refund). Additionally they can't cancel incorrect refunds (even when all parties are agreed!).So basically support is completely useless. I'm now out of pocket.They have refunded my employer but not refunded my own expenditure, made via their platform, even starting that this is impassible, despite me having provided the receipt ID.I work for a large organisation, trying to tracing this refund and then claiming the money back is going to be an absolute nightmare, if not impossible. The expense isn't a business expense, that's why I paid it with my own card.When a company is this incompetent over something so basic, a flaw that could affect millions of travellers, then you can't possibly trust them to rectify more complex issues.The platform is not fit fit purpose.",1,"['would', 'seen', 'trustpilot', 'score', 'bookingavoid', 'airbnb', 'cost', 'especially', 'travelling', 'businessmy', 'case', 'simple', 'one', 'yet', 'airbnb', 'completely', 'unable', 'provide', 'solution', 'despite', 'day', 'correspondence', 'phone', 'call', 'understanding', 'host', 'already', 'agreed', 'refunda', 'complete', 'waste', 'time', 'loss', 'moneyi', 'travelling', 'business', 'therefore', 'employer', 'paid', 'night', 'accommodating', 'using', 'one', 'business', 'credit', 'card', 'transaction', 'travelling', 'baby', 'wife', 'personally', 'sent', 'additional', 'payment', 'host', 'cot', 'high', 'chair', 'using', 'credit', 'card', 'transaction', 'problem', 'accommodation', 'arrived', 'host', 'acknowledged', 'agreed', 'provide', 'u', 'refund', 'fortherefore', 'needed', 'two', 'separate', 'refund', 'made', 'two', 'separate', 'card', 'bank', 'account', 'used', 'refund', 'employer', 'accommodation', 'transaction', 'refund', 'extra', 'transaction', 'difficult', 'airbnb', 'provided', 'separate', 'receipt', 'receipt', 'idi', 'needed', 'partial', 'refund', 'receipt', 'id', 'employer', 'full', 'refund', 'receipt', 'id', 'myselfthey', 'could', 'manage', 'simple', 'taskthe', 'first', 'person', 'spoke', 'chat', 'could', 'understand', 'made', 'two', 'payment', 'especially', 'one', 'bank', 'account', 'surely', 'traveling', 'business', 'alien', 'airbnbno', 'matter', 'spoke', 'sent', 'refund', 'employer', 'citing', 'sent', 'original', 'payment', 'completely', 'neglecting', 'fact', 'payment', 'methodseven', 'provided', 'receipt', 'id', 'rctrmwepw', 'unable', 'send', 'refund', 'thisairbnb', 'even', 'explained', 'would', 'option', 'host', 'select', 'refund', 'platform', 'ie', 'host', 'unable', 'send', 'correct', 'refund', 'additionally', 'cancel', 'incorrect', 'refund', 'even', 'party', 'agreedso', 'basically', 'support', 'completely', 'useless', 'pocketthey', 'refunded', 'employer', 'refunded', 'expenditure', 'made', 'via', 'platform', 'even', 'starting', 'impassible', 'despite', 'provided', 'receipt', 'idi', 'work', 'large', 'organisation', 'trying', 'tracing', 'refund', 'claiming', 'money', 'back', 'going', 'absolute', 'nightmare', 'impossible', 'expense', 'business', 'expense', 'paid', 'cardwhen', 'company', 'incompetent', 'something', 'basic', 'flaw', 'could', 'affect', 'million', 'traveller', 'possibly', 'trust', 'rectify', 'complex', 'issuesthe', 'platform', 'fit', 'fit', 'purpose']","['If', 'only', 'I', ""'d"", 'seen', 'the', 'trustpilot', 'score', 'before', 'booking', '!', 'Avoid', 'Airbnb', 'at', 'all', 'cost', '-', 'especially', 'if', 'travelling', 'on', 'business.My', 'case', 'wa', 'a', 'simple', 'one', ',', 'yet', 'Airbnb', 'were', 'completely', 'unable', 'to', 'provide', 'a', 'solution', ',', 'despite', 'day', 'of', 'correspondence', 'with', 'them', ',', 'a', 'phone', 'call', ',', 'and', 'an', 'understanding', 'host', 'who', 'had', 'already', 'agreed', 'to', 'the', 'refund.A', 'complete', 'waste', 'of', 'my', 'time', ',', 'and', 'loss', 'of', 'my', 'money.I', 'wa', 'travelling', 'on', 'business', ',', 'therefore', 'my', 'employer', 'paid', 'for', '5', 'night', 'accommodating', 'using', 'one', 'of', 'the', 'business', 'credit', 'card', '(', 'transaction', '1', ')', '.I', 'wa', 'travelling', 'with', 'my', 'baby', 'and', 'wife', ',', 'so', 'I', 'personally', 'sent', 'an', 'additional', 'payment', 'to', 'the', 'host', 'for', 'a', 'cot', 'and', 'high', 'chair', 'using', 'my', 'own', 'credit', 'card', '(', 'transaction', '2', ')', '.There', 'were', 'problem', 'with', 'the', 'accommodation', 'when', 'we', 'arrived', '(', 'which', 'the', 'host', 'acknowledged', 'and', 'agreed', 'to', 'provide', 'u', 'a', 'refund', 'for', ')', '.Therefore', ',', 'I', 'needed', 'two', 'separate', 'refund', ',', 'made', 'to', 'the', 'two', 'separate', 'card', 'and', 'bank', 'account', 'that', 'had', 'been', 'used.1', '.', 'Refund', 'to', 'my', 'employer', 'for', 'the', 'accommodation', '(', 'transaction', '1', ')', '2', '.', 'Refund', 'to', 'myself', 'for', 'the', 'extra', '(', 'transaction', '2', ')', 'This', 'should', ""n't"", 'be', 'difficult', ',', 'because', 'Airbnb', 'had', 'provided', 'separate', 'receipt', ',', 'each', 'with', 'their', 'own', 'receipt', 'ID.I', 'needed', 'a', 'partial', 'refund', 'for', 'receipt', 'ID', '1', '(', 'to', 'my', 'employer', ')', 'and', 'a', 'full', 'refund', 'for', 'receipt', 'ID', '2', '(', 'to', 'myself', ')', '.They', 'could', ""n't"", 'manage', 'this', 'simple', 'task', '!', 'The', 'first', 'person', 'I', 'spoke', 'with', 'on', 'the', 'chat', 'could', ""n't"", 'understand', 'how', 'I', 'had', 'made', 'two', 'payment', ',', 'especially', 'that', 'one', 'of', 'which', 'wa', 'not', 'my', 'bank', 'account', '.', 'Surely', 'traveling', 'on', 'business', 'is', ""n't"", 'this', 'alien', 'to', 'Airbnb', '!', '?', 'No', 'matter', 'who', 'I', 'spoke', 'to', ',', 'they', 'sent', 'the', 'refund', 'to', 'the', 'employer', ',', 'citing', 'that', 'it', 'had', 'to', 'be', 'sent', 'to', 'the', 'original', 'payment', ',', 'and', 'completely', 'neglecting', 'the', 'fact', 'there', 'were', '2', 'payment', 'methods.Even', 'when', 'I', 'provided', 'the', 'receipt', 'ID', 'RCT9RMWEPW', ',', 'they', 'were', 'unable', 'to', 'send', 'me', 'a', 'refund', 'for', 'this.Airbnb', 'even', 'further', 'explained', 'that', 'there', 'would', 'be', 'no', 'option', 'for', 'the', 'host', 'to', 'select', 'how', 'to', 'refund', 'me', 'through', 'their', 'platform', '(', 'i.e', '.', 'The', 'host', 'is', 'unable', 'to', 'send', 'the', 'correct', 'refund', ')', '.', 'Additionally', 'they', 'ca', ""n't"", 'cancel', 'incorrect', 'refund', '(', 'even', 'when', 'all', 'party', 'are', 'agreed', '!', ')', '.So', 'basically', 'support', 'is', 'completely', 'useless', '.', 'I', ""'m"", 'now', 'out', 'of', 'pocket.They', 'have', 'refunded', 'my', 'employer', 'but', 'not', 'refunded', 'my', 'own', 'expenditure', ',', 'made', 'via', 'their', 'platform', ',', 'even', 'starting', 'that', 'this', 'is', 'impassible', ',', 'despite', 'me', 'having', 'provided', 'the', 'receipt', 'ID.I', 'work', 'for', 'a', 'large', 'organisation', ',', 'trying', 'to', 'tracing', 'this', 'refund', 'and', 'then', 'claiming', 'the', 'money', 'back', 'is', 'going', 'to', 'be', 'an', 'absolute', 'nightmare', ',', 'if', 'not', 'impossible', '.', 'The', 'expense', 'is', ""n't"", 'a', 'business', 'expense', ',', 'that', ""'s"", 'why', 'I', 'paid', 'it', 'with', 'my', 'own', 'card.When', 'a', 'company', 'is', 'this', 'incompetent', 'over', 'something', 'so', 'basic', ',', 'a', 'flaw', 'that', 'could', 'affect', 'million', 'of', 'traveller', ',', 'then', 'you', 'ca', ""n't"", 'possibly', 'trust', 'them', 'to', 'rectify', 'more', 'complex', 'issues.The', 'platform', 'is', 'not', 'fit', 'fit', 'purpose', '.']",service
Platform itself is easy to use but the…,Platform itself is easy to use but the rules that are set up make it challenging from host to host. We enjoy non hotel trips still. Costs are starting to even it though.,3,"['platform', 'easy', 'use', 'rule', 'set', 'make', 'challenging', 'host', 'host', 'enjoy', 'non', 'hotel', 'trip', 'still', 'cost', 'starting', 'even', 'though']","['Platform', 'itself', 'is', 'easy', 'to', 'use', 'but', 'the', 'rule', 'that', 'are', 'set', 'up', 'make', 'it', 'challenging', 'from', 'host', 'to', 'host', '.', 'We', 'enjoy', 'non', 'hotel', 'trip', 'still', '.', 'Costs', 'are', 'starting', 'to', 'even', 'it', 'though', '.']",other
Avoid at all costs.,"Avoid at all costs.- their hosts can cancel you a confirmed stay- as a ""solution"" Airbnb provides you a list of stays 30km away with prices 50-100% up- Airbnb intentionally forbids you from putting a honest review on such unreliable hosts so you are unable to warn the others- their customer support is full of nice pre-fabricated sentences, solves nothing and then blocks you to not to disturb them again",1,"['avoid', 'cost', 'host', 'cancel', 'confirmed', 'stay', 'solution', 'airbnb', 'provides', 'list', 'stay', 'km', 'away', 'price', 'airbnb', 'intentionally', 'forbids', 'putting', 'honest', 'review', 'unreliable', 'host', 'unable', 'warn', 'others', 'customer', 'support', 'full', 'nice', 'prefabricated', 'sentence', 'solves', 'nothing', 'block', 'disturb']","['Avoid', 'at', 'all', 'costs.-', 'their', 'host', 'can', 'cancel', 'you', 'a', 'confirmed', 'stay-', 'a', 'a', '``', 'solution', ""''"", 'Airbnb', 'provides', 'you', 'a', 'list', 'of', 'stay', '30km', 'away', 'with', 'price', '50-100', '%', 'up-', 'Airbnb', 'intentionally', 'forbids', 'you', 'from', 'putting', 'a', 'honest', 'review', 'on', 'such', 'unreliable', 'host', 'so', 'you', 'are', 'unable', 'to', 'warn', 'the', 'others-', 'their', 'customer', 'support', 'is', 'full', 'of', 'nice', 'pre-fabricated', 'sentence', ',', 'solves', 'nothing', 'and', 'then', 'block', 'you', 'to', 'not', 'to', 'disturb', 'them', 'again']",service
i been very satisfied with airbnb in my…,i been very satisfied with airbnb in my holiday in thailand. Also in my holiday in Luxembourg. All was ok as described and yes i give 5 stars cause i really enjoy. I now trust airbnb 100%.,5,"['satisfied', 'airbnb', 'holiday', 'thailand', 'also', 'holiday', 'luxembourg', 'ok', 'described', 'yes', 'give', 'star', 'really', 'enjoy', 'trust', 'airbnb']","['i', 'been', 'very', 'satisfied', 'with', 'airbnb', 'in', 'my', 'holiday', 'in', 'thailand', '.', 'Also', 'in', 'my', 'holiday', 'in', 'Luxembourg', '.', 'All', 'wa', 'ok', 'a', 'described', 'and', 'yes', 'i', 'give', '5', 'star', 'cause', 'i', 'really', 'enjoy', '.', 'I', 'now', 'trust', 'airbnb', '100', '%', '.']",other
Airbnb host not answering my question,I sent a question to a host in Vietnam. She didn’t answer me.,1,"['sent', 'question', 'host', 'vietnam', 'answer']","['I', 'sent', 'a', 'question', 'to', 'a', 'host', 'in', 'Vietnam', '.', 'She', 'didn', '’', 't', 'answer', 'me', '.']",other
"Just lost over £3,000 on a holiday to…","Just lost over £3,000 on a holiday to Thailand. This is absolutely disgusting. We had to cancel to one of our friends having to have a back surgery and would no longer be able to travel. This was for a special occasion for him. Airbnb and the host have declined to refund any money. There is no customer service or support. Avoid at all costs.",1,"['lost', 'holiday', 'thailand', 'absolutely', 'disgusting', 'cancel', 'one', 'friend', 'back', 'surgery', 'would', 'longer', 'able', 'travel', 'special', 'occasion', 'airbnb', 'host', 'declined', 'refund', 'money', 'customer', 'service', 'support', 'avoid', 'cost']","['Just', 'lost', 'over', '£3,000', 'on', 'a', 'holiday', 'to', 'Thailand', '.', 'This', 'is', 'absolutely', 'disgusting', '.', 'We', 'had', 'to', 'cancel', 'to', 'one', 'of', 'our', 'friend', 'having', 'to', 'have', 'a', 'back', 'surgery', 'and', 'would', 'no', 'longer', 'be', 'able', 'to', 'travel', '.', 'This', 'wa', 'for', 'a', 'special', 'occasion', 'for', 'him', '.', 'Airbnb', 'and', 'the', 'host', 'have', 'declined', 'to', 'refund', 'any', 'money', '.', 'There', 'is', 'no', 'customer', 'service', 'or', 'support', '.', 'Avoid', 'at', 'all', 'cost', '.']",service
Airbnb.. worst experience ever overnight,"Was part of the group of 7 people who stayed at this place. Everything about this apartment was a lie, most things broken and not working on the place, smelled like weed, a/c barely working, refrigerator broken, toilets wouldn’t flush, every piece of furniture was broken in some way.  The worst part was that it’s located in the worst part of town, and a very unsafe feeling all around the place.  Could go on for hours about how bad the experience was… 1300 Crossing Place 522Austin, Texas 78741United States of AmericaI will never use an Airbnb ever again in my life.  Can only hope someone will learn from our mistake.",1,"['part', 'group', 'people', 'stayed', 'place', 'everything', 'apartment', 'lie', 'thing', 'broken', 'working', 'place', 'smelled', 'like', 'weed', 'ac', 'barely', 'working', 'refrigerator', 'broken', 'toilet', 'would', 'flush', 'every', 'piece', 'furniture', 'broken', 'way', 'worst', 'part', 'located', 'worst', 'part', 'town', 'unsafe', 'feeling', 'around', 'place', 'could', 'go', 'hour', 'bad', 'experience', 'crossing', 'place', 'austin', 'texas', 'united', 'state', 'americai', 'never', 'use', 'airbnb', 'ever', 'life', 'hope', 'someone', 'learn', 'mistake']","['Was', 'part', 'of', 'the', 'group', 'of', '7', 'people', 'who', 'stayed', 'at', 'this', 'place', '.', 'Everything', 'about', 'this', 'apartment', 'wa', 'a', 'lie', ',', 'most', 'thing', 'broken', 'and', 'not', 'working', 'on', 'the', 'place', ',', 'smelled', 'like', 'weed', ',', 'a/c', 'barely', 'working', ',', 'refrigerator', 'broken', ',', 'toilet', 'wouldn', '’', 't', 'flush', ',', 'every', 'piece', 'of', 'furniture', 'wa', 'broken', 'in', 'some', 'way', '.', 'The', 'worst', 'part', 'wa', 'that', 'it', '’', 's', 'located', 'in', 'the', 'worst', 'part', 'of', 'town', ',', 'and', 'a', 'very', 'unsafe', 'feeling', 'all', 'around', 'the', 'place', '.', 'Could', 'go', 'on', 'for', 'hour', 'about', 'how', 'bad', 'the', 'experience', 'was…', '1300', 'Crossing', 'Place', '522Austin', ',', 'Texas', '78741United', 'States', 'of', 'AmericaI', 'will', 'never', 'use', 'an', 'Airbnb', 'ever', 'again', 'in', 'my', 'life', '.', 'Can', 'only', 'hope', 'someone', 'will', 'learn', 'from', 'our', 'mistake', '.']",negative
Serious safety issue ignored and case mishandled,"I recently had a very disappointing experience with Airbnb. During my stay, water leaked directly from the bathroom light fixture for four days in a windowless bathroom, creating a clear risk of fire and electrocution. Despite providing evidence and reporting this immediately, Airbnb treated it as a minor “amenity issue” and offered me just €75 in compensation.Even more troubling, the host pressured me to remove my review in exchange for a refund. I refused, because I wanted to respect Airbnb’s rules and trust their process. Unfortunately, this left me worse off — Airbnb closed my case without taking the safety risk or the host’s misconduct seriously.This experience has completely undermined my trust in Airbnb’s promise to “have guests’ backs.” If safety hazards and review manipulation are brushed aside in this way, it is hard to see how guests can feel protected by the platform.",1,"['recently', 'disappointing', 'experience', 'airbnb', 'stay', 'water', 'leaked', 'directly', 'bathroom', 'light', 'fixture', 'four', 'day', 'windowless', 'bathroom', 'creating', 'clear', 'risk', 'fire', 'electrocution', 'despite', 'providing', 'evidence', 'reporting', 'immediately', 'airbnb', 'treated', 'minor', 'amenity', 'issue', 'offered', 'compensationeven', 'troubling', 'host', 'pressured', 'remove', 'review', 'exchange', 'refund', 'refused', 'wanted', 'respect', 'airbnbs', 'rule', 'trust', 'process', 'unfortunately', 'left', 'worse', 'airbnb', 'closed', 'case', 'without', 'taking', 'safety', 'risk', 'host', 'misconduct', 'seriouslythis', 'experience', 'completely', 'undermined', 'trust', 'airbnbs', 'promise', 'guest', 'back', 'safety', 'hazard', 'review', 'manipulation', 'brushed', 'aside', 'way', 'hard', 'see', 'guest', 'feel', 'protected', 'platform']","['I', 'recently', 'had', 'a', 'very', 'disappointing', 'experience', 'with', 'Airbnb', '.', 'During', 'my', 'stay', ',', 'water', 'leaked', 'directly', 'from', 'the', 'bathroom', 'light', 'fixture', 'for', 'four', 'day', 'in', 'a', 'windowless', 'bathroom', ',', 'creating', 'a', 'clear', 'risk', 'of', 'fire', 'and', 'electrocution', '.', 'Despite', 'providing', 'evidence', 'and', 'reporting', 'this', 'immediately', ',', 'Airbnb', 'treated', 'it', 'a', 'a', 'minor', '“', 'amenity', 'issue', '”', 'and', 'offered', 'me', 'just', '€75', 'in', 'compensation.Even', 'more', 'troubling', ',', 'the', 'host', 'pressured', 'me', 'to', 'remove', 'my', 'review', 'in', 'exchange', 'for', 'a', 'refund', '.', 'I', 'refused', ',', 'because', 'I', 'wanted', 'to', 'respect', 'Airbnb', '’', 's', 'rule', 'and', 'trust', 'their', 'process', '.', 'Unfortunately', ',', 'this', 'left', 'me', 'worse', 'off', '—', 'Airbnb', 'closed', 'my', 'case', 'without', 'taking', 'the', 'safety', 'risk', 'or', 'the', 'host', '’', 's', 'misconduct', 'seriously.This', 'experience', 'ha', 'completely', 'undermined', 'my', 'trust', 'in', 'Airbnb', '’', 's', 'promise', 'to', '“', 'have', 'guest', '’', 'backs.', '”', 'If', 'safety', 'hazard', 'and', 'review', 'manipulation', 'are', 'brushed', 'aside', 'in', 'this', 'way', ',', 'it', 'is', 'hard', 'to', 'see', 'how', 'guest', 'can', 'feel', 'protected', 'by', 'the', 'platform', '.']",other
I recently booked with BRIAN LAMBERT in…,I recently booked with BRIAN LAMBERT in  LENOIR NC and his amenities were not at all what he described. The listing says he has a stove and all he has is a hot plate! That's just one of the many lies he uses to describe this space. We also had ants throughout the entire unit for our stay and he said we brought them with us!!! of course I complained to him and he wrote a review saying I was combative and he does not recommend me to anyone else. I spent hours on the phone and did two request to remove this review and had all of the proof and pictures to support the truth and they denied the removal of the review both times that he did on me! Absolutely ridiculous because I had all of the proof! Won't be using AIRBNB again!,1,"['recently', 'booked', 'brian', 'lambert', 'lenoir', 'nc', 'amenity', 'described', 'listing', 'say', 'stove', 'hot', 'plate', 'one', 'many', 'lie', 'us', 'describe', 'space', 'also', 'ant', 'throughout', 'entire', 'unit', 'stay', 'said', 'brought', 'u', 'course', 'complained', 'wrote', 'review', 'saying', 'combative', 'recommend', 'anyone', 'else', 'spent', 'hour', 'phone', 'two', 'request', 'remove', 'review', 'proof', 'picture', 'support', 'truth', 'denied', 'removal', 'review', 'time', 'absolutely', 'ridiculous', 'proof', 'using', 'airbnb']","['I', 'recently', 'booked', 'with', 'BRIAN', 'LAMBERT', 'in', 'LENOIR', 'NC', 'and', 'his', 'amenity', 'were', 'not', 'at', 'all', 'what', 'he', 'described', '.', 'The', 'listing', 'say', 'he', 'ha', 'a', 'stove', 'and', 'all', 'he', 'ha', 'is', 'a', 'hot', 'plate', '!', 'That', ""'s"", 'just', 'one', 'of', 'the', 'many', 'lie', 'he', 'us', 'to', 'describe', 'this', 'space', '.', 'We', 'also', 'had', 'ant', 'throughout', 'the', 'entire', 'unit', 'for', 'our', 'stay', 'and', 'he', 'said', 'we', 'brought', 'them', 'with', 'u', '!', '!', '!', 'of', 'course', 'I', 'complained', 'to', 'him', 'and', 'he', 'wrote', 'a', 'review', 'saying', 'I', 'wa', 'combative', 'and', 'he', 'doe', 'not', 'recommend', 'me', 'to', 'anyone', 'else', '.', 'I', 'spent', 'hour', 'on', 'the', 'phone', 'and', 'did', 'two', 'request', 'to', 'remove', 'this', 'review', 'and', 'had', 'all', 'of', 'the', 'proof', 'and', 'picture', 'to', 'support', 'the', 'truth', 'and', 'they', 'denied', 'the', 'removal', 'of', 'the', 'review', 'both', 'time', 'that', 'he', 'did', 'on', 'me', '!', 'Absolutely', 'ridiculous', 'because', 'I', 'had', 'all', 'of', 'the', 'proof', '!', 'Wo', ""n't"", 'be', 'using', 'AIRBNB', 'again', '!']",service
