Título,Comentario,Puntaje
"Punished for being honest, guest rewarded for lying","I feel completely let down by Airbnb.A guest booked for one person, but two showed up at check in. Days later we discovered three were actually staying, and the first to arrive was not even the booker but his father and wife. Despite having proof, Airbnb took no action.The same guest reported a shower issue six days into the stay. We immediately replaced the boiler at our own expense. My father worked six hours to install it. The problem was resolved within days, yet Airbnb still issued a refund as if there had been no hot water for many nights, which simply is not true.Airbnb lastly blamed us for not reporting the breach of number and identity of guests, but we only found out a week into the booking.We acted quickly, spent money, and tried to do everything right, but Airbnb rewarded dishonesty and left us feeling powerless and disrespected.",1
They don't even have a proper system in place for refunding specific receipts,"If only I'd seen the trustpilot score before booking!Avoid Airbnb at all costs - especially if travelling on business.My case was a simple one, yet Airbnb were completely unable to provide a solution, despite days of correspondence with them, a phone call, and an understanding host who had already agreed to the refund.A complete waste of my time, and loss of my money.I was travelling on business, therefore my employer paid for 5 nights accommodating using one of the business credit cards (transaction 1).I was travelling with my baby and wife, so I personally sent an additional payment to the host for a cot and high chair using my own credit card (transaction 2).There were problems with the accommodation when we arrived (which the host acknowledged and agreed to provide us a refund for).Therefore, I needed two separate refunds, made to the two separate cards and bank accounts that had been used.1. Refund to my employer for the accommodation (transaction 1)2. Refund to myself for the extras (transaction 2)This shouldn't be difficult, because Airbnb had provided separate receipts, each with their own receipt ID.I needed a partial refund for receipt ID 1 (to my employer) and a full refund for receipt ID 2 (to myself).They couldn't manage this simple task!The first person I spoke with on the chat couldn't understand how I had made two payments, especially that one of which was not my bank account. Surely traveling on business isn't this alien to Airbnb!?No matter who I spoke to, they sent the refund to the employer, citing that it had to be sent to the original payment, and completely neglecting the fact there were 2 payment methods.Even when I provided the receipt ID RCT9RMWEPW, they were unable to send me a refund for this.Airbnb even further explained that there would be no option for the host to select how to refund me through their platform (i.e. The host is unable to send the correct refund). Additionally they can't cancel incorrect refunds (even when all parties are agreed!).So basically support is completely useless. I'm now out of pocket.They have refunded my employer but not refunded my own expenditure, made via their platform, even starting that this is impassible, despite me having provided the receipt ID.I work for a large organisation, trying to tracing this refund and then claiming the money back is going to be an absolute nightmare, if not impossible. The expense isn't a business expense, that's why I paid it with my own card.When a company is this incompetent over something so basic, a flaw that could affect millions of travellers, then you can't possibly trust them to rectify more complex issues.The platform is not fit fit purpose.",1
Platform itself is easy to use but the…,Platform itself is easy to use but the rules that are set up make it challenging from host to host. We enjoy non hotel trips still. Costs are starting to even it though.,3
Avoid at all costs.,"Avoid at all costs.- their hosts can cancel you a confirmed stay- as a ""solution"" Airbnb provides you a list of stays 30km away with prices 50-100% up- Airbnb intentionally forbids you from putting a honest review on such unreliable hosts so you are unable to warn the others- their customer support is full of nice pre-fabricated sentences, solves nothing and then blocks you to not to disturb them again",1
i been very satisfied with airbnb in my…,i been very satisfied with airbnb in my holiday in thailand. Also in my holiday in Luxembourg. All was ok as described and yes i give 5 stars cause i really enjoy. I now trust airbnb 100%.,5
Airbnb host not answering my question,I sent a question to a host in Vietnam. She didn’t answer me.,1
"Just lost over £3,000 on a holiday to…","Just lost over £3,000 on a holiday to Thailand. This is absolutely disgusting. We had to cancel to one of our friends having to have a back surgery and would no longer be able to travel. This was for a special occasion for him. Airbnb and the host have declined to refund any money. There is no customer service or support. Avoid at all costs.",1
Airbnb.. worst experience ever overnight,"Was part of the group of 7 people who stayed at this place. Everything about this apartment was a lie, most things broken and not working on the place, smelled like weed, a/c barely working, refrigerator broken, toilets wouldn’t flush, every piece of furniture was broken in some way.  The worst part was that it’s located in the worst part of town, and a very unsafe feeling all around the place.  Could go on for hours about how bad the experience was… 1300 Crossing Place 522Austin, Texas 78741United States of AmericaI will never use an Airbnb ever again in my life.  Can only hope someone will learn from our mistake.",1
Serious safety issue ignored and case mishandled,"I recently had a very disappointing experience with Airbnb. During my stay, water leaked directly from the bathroom light fixture for four days in a windowless bathroom, creating a clear risk of fire and electrocution. Despite providing evidence and reporting this immediately, Airbnb treated it as a minor “amenity issue” and offered me just €75 in compensation.Even more troubling, the host pressured me to remove my review in exchange for a refund. I refused, because I wanted to respect Airbnb’s rules and trust their process. Unfortunately, this left me worse off — Airbnb closed my case without taking the safety risk or the host’s misconduct seriously.This experience has completely undermined my trust in Airbnb’s promise to “have guests’ backs.” If safety hazards and review manipulation are brushed aside in this way, it is hard to see how guests can feel protected by the platform.",1
I recently booked with BRIAN LAMBERT in…,I recently booked with BRIAN LAMBERT in  LENOIR NC and his amenities were not at all what he described. The listing says he has a stove and all he has is a hot plate! That's just one of the many lies he uses to describe this space. We also had ants throughout the entire unit for our stay and he said we brought them with us!!! of course I complained to him and he wrote a review saying I was combative and he does not recommend me to anyone else. I spent hours on the phone and did two request to remove this review and had all of the proof and pictures to support the truth and they denied the removal of the review both times that he did on me! Absolutely ridiculous because I had all of the proof! Won't be using AIRBNB again!,1
"What an awful experience,it is very…","What an awful experience,it is very difficult to have a conversation over the telephone due to the language barrier. Too many problems so cancelled. Under no circumstances would I use ABNB. I am awaiting my refund. Be warned",1
Airbnb allowing hosts extort money from…,"Airbnb allowing hosts extort money from the guests.By mistake I booked an accommodation for 1 person instead of 3. While amending the booking, the host asked 3 times the cost of the apartment. ( 330€ instead of 110€). Normally only extra city tax was to apply. I rejected host’s offer and he cancelled my booking. I lost the money I paid and the host refused me to check in (even alone).Despite of me providing the screenshot of differential I had to pay on this apartment (extra city tax),I was explained by Airbnb that I had to accept the amendment (330€)..I had the impression that all people of Airbnb support were merely bots 🤖",1
Avoid at all cost,"Man, the rating on Trustpilot and their stock performance over the last 5 years really speaks for itself.Company loosing it value.Per definition.Honestly, Airbnb has the best UI. But underneath the facade, the company is super ugly.Honestly, I would try to avoid them at all cost.I got blocked because one host wasn't returning my property and kept lying to me that he could not access the apartment, even though I saw the profile was being booked.I told him he will see I will go to the police.Then Airbnb just blocked me without naming any specific reason.Because they support thieves, don't hold them accountable and even support them.Emotionally immature, incompetent company.AVOID AT ALL COST.",1
